,Unnamed: 0,name,region,worked,born
0,0,"Браун, Андрей Георгиевич",Акмолинская область, (1992—1997),14 февраля 1937
1,1,"Карибжанов, Жаныбек Салимович",Акмолинская область, (июль — декабрь 1997),23 ноября 1948
2,2,"Гартман, Владимир Карлович",Акмолинская область, (декабрь 1997 — сентябрь 1998),18 августа 1997
3,3,"Кулагин, Сергей Витальевич",Акмолинская область, (сентябрь 1998 — март 2004),27 мая 1998
4,4,"Есенбаев, Мажит Тулеубекович",Акмолинская область, (март 2004 — январь 2008),28 апреля 1999
5,5,"Рау, Альберт Павлович",Акмолинская область, (23 января 2008 — 13 марта 2010),13 марта 1960
6,6,"Дьяченко, Сергей Александрович",Акмолинская область, (13 марта 2010 — 21 января 2012),18 сентября 1952
7,7,"Кожамжаров, Кайрат Пернешович",Акмолинская область, (21 января 2012 — 21 января 2013),19 марта 19 марта
8,8,"Айтмухаметов, Косман Каиртаевич",Акмолинская область, (январь 2013 — май 2014),29 августа 1963
9,9,"Кулагин, Сергей Витальевич",Акмолинская область, (27 мая 2014 — 14 марта 2017),27 мая 1998
10,10,"Мурзалин, Малик Кенесбаевич",Акмолинская область, (14 марта 2017 года — 19 марта 2019),14 марта 19 марта
11,11,"Маржикпаев, Ермек Боранбаевич",Акмолинская область, (19 марта 2019 — 2 сентября 2023),29 августа 1969
12,12,"Ахметжанов, Марат Муратович",Акмолинская область, (с 5 сентября 2023),2 сентября 1964
13,13,"Кулмаханов, Шалбай Кулмаханович",Актюбинская область, (1992—1993),20 июня 1997
14,14,"Пачин, Савелий Тимофеевич",Актюбинская область, (1993—1995),Википедия:К улучшению/12 сентября 2022 1993
15,15,"Мусин, Аслан Еспулаевич",Актюбинская область, (сентябрь 1995 — апрель 2002),2 января 1954
16,16,"Имантаев, Ермек Жетписбаевич",Актюбинская область, (апрель 2002 — июль 2004),29 марта 1967
17,17,"Сагиндыков, Елеусин Наурызбаевич",Актюбинская область, (10 июля 2004 — 22 июля 2011),1 мая 1992
