,Unnamed: 0.1,Unnamed: 0,name,region,worked,born,years_unpacked,year_born
0,0,0,"Браун, Андрей Георгиевич",Akmola region, (1992—1997),14 февраля 1937,"[1992, 1993, 1994, 1995, 1996, 1997]",1937
1,1,1,"Карибжанов, Жаныбек Салимович",Akmola region, (июль — декабрь 1997),23 ноября 1948,1997,1948
2,2,2,"Гартман, Владимир Карлович",Akmola region, (декабрь 1997 — сентябрь 1998),18 августа 1997,"[1997, 1998]",1947
3,3,3,"Кулагин, Сергей Витальевич",Akmola region, (сентябрь 1998 — март 2004),27 мая 1998,"[1998, 1999, 2000, 2001, 2002, 2003, 2004]",1952
4,4,4,"Есенбаев, Мажит Тулеубекович",Akmola region, (март 2004 — январь 2008),28 апреля 1999,"[2004, 2005, 2006, 2007, 2008]",1949
5,5,5,"Рау, Альберт Павлович",Akmola region, (23 января 2008 — 13 марта 2010),13 марта 1960,"[2008, 2009, 2010]",1960
6,6,6,"Дьяченко, Сергей Александрович",Akmola region, (13 марта 2010 — 21 января 2012),18 сентября 1952,"[2010, 2011, 2012]",1952
7,7,7,"Кожамжаров, Кайрат Пернешович",Akmola region, (21 января 2012 — 21 января 2013),19 марта 19 марта,"[2012, 2013]",1965
8,8,8,"Айтмухаметов, Косман Каиртаевич",Akmola region, (январь 2013 — май 2014),29 августа 1963,"[2013, 2014]",1963
9,9,9,"Кулагин, Сергей Витальевич",Akmola region, (27 мая 2014 — 14 марта 2017),27 мая 1998,"[2014, 2015, 2016, 2017]",1952
10,10,10,"Мурзалин, Малик Кенесбаевич",Akmola region, (14 марта 2017 года — 19 марта 2019),14 марта 19 марта,"[2017, 2018, 2019]",1971
11,11,11,"Маржикпаев, Ермек Боранбаевич",Akmola region, (19 марта 2019 — 2 сентября 2023),29 августа 1969,"[2019, 2020, 2021, 2022, 2023]",1969
12,12,12,"Ахметжанов, Марат Муратович",Akmola region, (с 5 сентября 2023),2 сентября 1964,"[2023, 2024]",1964
13,13,13,"Кулмаханов, Шалбай Кулмаханович",Aktobe region, (1992—1993),20 июня 1997,"[1992, 1993]",1946
14,14,14,"Пачин, Савелий Тимофеевич",Aktobe region, (1993—1995),Википедия:К улучшению/12 сентября 2022 1993,"[1993, 1994, 1995]",1942
15,15,15,"Мусин, Аслан Еспулаевич",Aktobe region, (сентябрь 1995 — апрель 2002),2 января 1954,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002]",1954
16,16,16,"Имантаев, Ермек Жетписбаевич",Aktobe region, (апрель 2002 — июль 2004),29 марта 1967,"[2002, 2003, 2004]",1967
17,17,17,"Сагиндыков, Елеусин Наурызбаевич",Aktobe region, (10 июля 2004 — 22 июля 2011),1 мая 1992,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",1947
18,18,18,"Мухамбетов, Архимед Бегежанович",Aktobe region, (22 июля 2011 — 11 сентября 2015),11 сентября 1972,"[2011, 2012, 2013, 2014, 2015]",1972
19,19,19,"Сапарбаев, Бердыбек Машбекович",Aktobe region, (11 сентября 2015 — 25 февраля 2019),9 февраля 1953,"[2015, 2016, 2017, 2018, 2019]",1953
20,20,20,"Уразалин, Ондасын Сеилович",Aktobe region, (26 февраля 2019 — 31 августа 2022),26 февраля 1963,"[2019, 2020, 2021, 2022]",1963
21,21,21,"Тугжанов, Ералы Лукпанович",Aktobe region, (31 августа 2022 — 5 сентября 2023),31 августа 1963,"[2022, 2023]",1963
22,22,22,"Шахаров, Асхат Берлешевич",Aktobe region, (с 5 сентября 2023),3 октября 1978,"[2023, 2024]",1978
23,23,23,"Есимов, Ахметжан Смагулович",Almaty region, (1992—1994),15 декабря 1950,"[1992, 1993, 1994]",1950
24,24,24,"Узбеков, Умирзак Узбекович",Almaty region, (1994—1996),10 октября 1947,"[1994, 1995, 1996]",1947
25,25,25,"Умбетов, Серик Абикенович",Almaty region, (1996—1997),19 июня 19 июня,"[1996, 1997]",1950
26,26,26,"Нуркадилов, Заманбек Калабаевич",Almaty region, (декабрь 1997 — май 2001),5 декабря 1997,"[1997, 1998, 1999, 2000, 2001]",1944
27,27,27,"Кулмаханов, Шалбай Кулмаханович",Almaty region, (май 2001 — 11 августа 2005),20 июня 1997,"[2001, 2002, 2003, 2004, 2005]",1946
28,28,28,"Умбетов, Серик Абикенович",Almaty region, (11 августа 2005 — 13 апреля 2011),19 июня 19 июня,"[2005, 2006, 2007, 2008, 2009, 2010, 2011]",1950
29,29,29,"Мусаханов, Анзар Турсунканович",Almaty region, (с 13 апреля 2011 — 20 августа 2014),13 апреля 1966,"[2011, 2012, 2013, 2014]",1966
30,30,30,"Баталов, Амандык Габбасович",Almaty region, (20 августа 2014 — 24 ноября 2021),20 августа 1995,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",1952
31,31,31,"Бозумбаев, Канат Алдабергенович",Almaty region, (24 ноября 2021 — 11 июня 2022),8 января 1969,"[2021, 2022]",1969
32,32,32,"Султангазиев, Марат Елеусизович",Almaty region, (с 11 июня 2022),11 июня 1976,"[2022, 2023, 2024]",1976
33,33,33,"Тугельбаев, Сагат Кашкенович",Atyrau region, (февраль 1992 — октябрь 1994),25 февраля 1948,"[1992, 1993, 1994]",1948
34,34,34,"Чердабаев, Равиль Тажигариевич",Atyrau region, (1994—1999),26 мая 1994,"[1994, 1995, 1996, 1997, 1998, 1999]",1940
35,35,35,"Тасмагамбетов, Имангали Нургалиевич",Atyrau region, (1999 год — декабрь 2000 года),9 декабря 1956,"[1999, 2000]",1956
36,36,36,"Даукеев, Серикбек Жусупбекович",Atyrau region, (декабрь 2000 — апрель 2002),22 декабря 1993,"[2000, 2001, 2002]",1950
37,37,37,"Мусин, Аслан Еспулаевич",Atyrau region, (3 апреля 2002 года — 6 октября 2006 года),2 января 1954,"[2002, 2003, 2004, 2005, 2006]",1954
38,38,38,"Рыскалиев, Бергей Саулебаевич",Atyrau region, (октябрь 2006 — август 2012),21 января 1967,"[2006, 2007, 2008, 2009, 2010, 2011, 2012]",1967
39,39,39,"Измухамбетов, Бактыкожа Салахатдинович",Atyrau region, (август 2012 — 26 марта 2016),25 марта 19 января,"[2012, 2013, 2014, 2015, 2016]",1948
40,40,40,"Ногаев, Нурлан Аскарович",Atyrau region, (29 марта 2016 — 16 декабря 2019),30 июля 1967,"[2016, 2017, 2018, 2019]",1967
41,41,41,"Досмухамбетов, Махамбет Джолдасгалиевич",Atyrau region, (декабрь 2019 — апрель 2022),18 декабря 1960,"[2019, 2020, 2021, 2022]",1960
42,42,42,"Шапкенов, Серик Жамбулович",Atyrau region, (с 7 апреля 2022),29 июля 1979,"[2022, 2023, 2024]",1979
43,43,43,"Бектемисов, Амангельды Иманакышевич",East Kazakhstan region, (февраль 1992 — 17 июня 1994),16 февраля 1945,"[1992, 1993, 1994]",1945
44,44,44,"Лавриненко, Юрий Иванович",East Kazakhstan region, (17 июня 1994 — 30 ноября 1995),24 ноября 1945,"[1994, 1995]",1945
45,45,45,"Десятник, Леонид Васильевич",East Kazakhstan region, (30 ноября 1995 — 10 апреля 1996),1924,"[1995, 1996]",1924
46,46,46,"Нагманов, Кажмурат Ибраевич",East Kazakhstan region, (10 апреля 1996 — 17 апреля 1997),1 июня 1948,"[1996, 1997]",1948
47,47,47,"Метте, Виталий Леонидович",East Kazakhstan region, (17 апреля 1997 — 26 февраля 2003),5 января 1947,"[1997, 1998, 1999, 2000, 2001, 2002, 2003]",1947
48,48,48,"Абайдильдин, Талгатбек Жамшитович",East Kazakhstan region, (27 февраля 2003 — 8 декабря 2004),16 сентября 1948,"[2003, 2004]",1948
49,49,49,"Храпунов, Виктор Вячеславович",East Kazakhstan region, (8 декабря 2004 — 11 января 2007),24 ноября 1948,"[2004, 2005, 2006, 2007]",1948
50,50,50,"Карибжанов, Жаныбек Салимович",East Kazakhstan region, (11 января 2007 — 7 мая 2008),23 ноября 1948,"[2007, 2008]",1948
51,51,51,"Бергенев, Адылгазы Садвокасович",East Kazakhstan region, (7 мая 2008 — 4 марта 2009),15 мая 1958,"[2008, 2009]",1958
52,52,52,"Сапарбаев, Бердыбек Машбекович",East Kazakhstan region, (4 марта 2009 — 11 ноября 2014),9 февраля 1953,"[2009, 2010, 2011, 2012, 2013, 2014]",1953
53,53,53,"Ахметов, Даниал Кенжетаевич",East Kazakhstan region, (11 ноября 2014 — 16 июня 2023),15 июня 1954,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",1954
54,54,54,"Кошербаев, Ермек Беделбаевич",East Kazakhstan region, (с 16 июня 2023),2 мая 1965,"[2023, 2024]",1965
55,55,55,"Байгельди, Омирбек",Zhambyl region, (1992—1995),15 апреля 1939,"[1992, 1993, 1994, 1995]",1939
56,56,56,"Тшанов, Амалбек Козыбакович",Zhambyl region, (1995—1998),4 апреля 1943,"[1995, 1996, 1997, 1998]",1943
57,57,57,"Калмурзаев, Сарыбай Султанович",Zhambyl region, (1998—1999),10 июня 1949,"[1998, 1999]",1949
58,58,58,"Умбетов, Серик Абикенович",Zhambyl region, (февраль 1999 — 14 мая 2004),19 июня 19 июня,"[1999, 2000, 2001, 2002, 2003, 2004]",1950
59,59,59,"Жексембин, Борибай Бикожаевич",Zhambyl region, (14 мая 2004 — 30 ноября 2009),26 мая 1952,"[2004, 2005, 2006, 2007, 2008, 2009]",1952
60,60,60,"Бозумбаев, Канат Алдабергенович",Zhambyl region, (30 ноября 2009 — 20 декабря 2013),8 января 1969,"[2009, 2010, 2011, 2012, 2013]",1969
61,61,61,"Кокрекбаев, Карим Насбекович",Zhambyl region, (30 декабря 2013 — 10 января 2018),28 июля 1957,"[2013, 2014, 2015, 2016, 2017, 2018]",1957
